web-scraper-order,web-scraper-start-url,links,links-href,title,author,rating,words,chapters,tags,tags-href,pages,pages-href
1670648128-3473,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Handcuffs,https://archiveofourown.org/tags/Handcuffs/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3474,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Smut,https://archiveofourown.org/tags/Smut/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3475,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Dom/sub,https://archiveofourown.org/tags/Dom*s*sub/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3476,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Semi-Public Sex,https://archiveofourown.org/tags/Semi-Public%20Sex/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3477,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Spanish Kink,https://archiveofourown.org/tags/Spanish%20Kink/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3478,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Punishment,https://archiveofourown.org/tags/Punishment/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3479,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Spanking,https://archiveofourown.org/tags/Spanking/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3480,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Light Masochism,https://archiveofourown.org/tags/Light%20Masochism/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3481,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Sadism,https://archiveofourown.org/tags/Sadism/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3482,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Dominance,https://archiveofourown.org/tags/Dominance/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3483,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Submissive Character,https://archiveofourown.org/tags/Submissive%20Character/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3484,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Submission,https://archiveofourown.org/tags/Submission/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3485,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Teacher/Student Roleplay,https://archiveofourown.org/tags/Teacher*s*Student%20Roleplay/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3486,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Bondage and Discipline,https://archiveofourown.org/tags/Bondage%20and%20Discipline/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3487,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Discipline,https://archiveofourown.org/tags/Discipline/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3488,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,School,https://archiveofourown.org/tags/School/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3489,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,High School,https://archiveofourown.org/tags/High%20School/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3490,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Age Difference,https://archiveofourown.org/tags/Age%20Difference/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
